Case 1, Seed 10
Format: series_name, timestep, value, change_elements
series_0, 16, 174.26, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_0, 17, 165.046, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_1, 16, 176.081, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_1, 17, 166.524, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_2, 16, 174.643, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_2, 17, 166.315, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_3, 16, 174.605, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_3, 17, 165.232, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_4, 16, 177.833, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_4, 17, 169.055, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
series_5, 16, 173.514, [{'element': 'Workload', 'frequency': '20', 'mean': '3.0000', 'std': '0.300000'}, {'element': 'W/index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/login', 'mean': '2.1495', 'std': '0.0215'}, {'element': 'W/loginAction', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'W/product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'W/logout', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'P/categories_index', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'P/categories_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/login_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_category', 'mean': '1.2326', 'std': '0.0123'}, {'element': 'P/getProduct_product', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/logout_logout', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'A/isLoggedIn_index', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/icon_login', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'P/getUser_loginAction', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'I/productImages_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'R/getAds_product', 'mean': '1.6910', 'std': '0.0169'}, {'element': 'P/category_logout', 'mean': '0.3157', 'std': '0.0032'}, {'element': 'I/icon_index', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'A/isLoggedIn_login', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'I/icon_loginAction', 'mean': '3.5248', 'std': '0.0352'}, {'element': 'A/isLoggedIn_category', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/product_product', 'mean': '2.6079', 'std': '0.0261'}, {'element': 'I/icon_logout', 'mean': '3.0664', 'std': '0.0307'}, {'element': 'A/isLoggedIn_product', 'mean': '3.5248', 'std': '0.0352'}]
